Date,Province,Confirmed
2020/5/12,北京,593
2020/5/13,北京,593
2020/5/14,北京,593
2020/5/15,北京,593
2020/5/16,北京,593
2020/5/17,北京,593
2020/5/18,北京,593
2020/5/19,北京,593
2020/5/20,北京,593
2020/5/21,北京,593
2020/2/1,重庆,247
2020/2/2,重庆,300
2020/2/3,重庆,337
2020/2/4,重庆,366
2020/2/5,重庆,389
2020/2/6,重庆,411
2020/2/7,重庆,426
2020/2/8,重庆,428
2020/2/9,重庆,468
2020/2/10,重庆,486
2020/2/11,重庆,505
2020/2/12,重庆,518
2020/2/13,重庆,529
2020/2/14,重庆,537
2020/2/15,重庆,544
2020/2/16,重庆,551
2020/2/17,重庆,553
2020/2/18,重庆,555
2020/2/19,重庆,560
2020/2/20,重庆,567
2020/2/21,重庆,572
2020/2/22,重庆,573
2020/2/23,重庆,575
2020/2/24,重庆,576
2020/2/25,重庆,576
2020/2/26,重庆,576
2020/2/27,重庆,576
2020/2/28,重庆,576
2020/2/29,重庆,576
2020/3/1,重庆,576
2020/3/2,重庆,576
2020/3/3,重庆,576
2020/3/4,重庆,576
2020/3/5,重庆,576
2020/3/6,重庆,576
2020/3/7,重庆,576
2020/3/8,重庆,576
2020/3/9,重庆,576
2020/3/10,重庆,576
2020/3/11,重庆,576
2020/3/12,重庆,576
2020/3/13,重庆,576
2020/3/14,重庆,576
2020/3/15,重庆,576
2020/3/16,重庆,576
2020/3/17,重庆,576
2020/3/18,重庆,576
2020/3/19,重庆,576
2020/3/20,重庆,576
2020/3/21,重庆,576
2020/3/22,重庆,577
2020/3/23,重庆,577
2020/3/24,重庆,578
2020/3/25,重庆,578
2020/3/26,重庆,578
2020/3/27,重庆,578
2020/3/28,重庆,578
2020/3/29,重庆,579
2020/3/30,重庆,579
2020/3/31,重庆,579
2020/4/1,重庆,579
2020/4/2,重庆,579
2020/4/3,重庆,579
2020/4/4,重庆,579
2020/4/5,重庆,579
2020/4/6,重庆,579
2020/4/7,重庆,579
2020/4/8,重庆,579
2020/4/9,重庆,579
2020/4/10,重庆,579
2020/4/11,重庆,579
2020/4/12,重庆,579
2020/4/13,重庆,579
2020/4/14,重庆,579
2020/4/15,重庆,579
2020/4/16,重庆,579
2020/4/17,重庆,579
2020/4/18,重庆,579
2020/4/19,重庆,579
2020/4/20,重庆,579
2020/4/21,重庆,579
2020/4/22,重庆,579
2020/4/23,重庆,579
2020/4/24,重庆,579
2020/4/25,重庆,579
2020/4/26,重庆,579
2020/4/27,重庆,579
2020/4/28,重庆,579
2020/4/29,重庆,579
2020/4/30,重庆,579
2020/5/1,重庆,579
2020/5/2,重庆,579
2020/5/3,重庆,579
2020/5/4,重庆,579
2020/5/5,重庆,579
2020/5/6,重庆,579
2020/5/7,重庆,579
2020/5/8,重庆,579
2020/5/9,重庆,579
2020/5/10,重庆,579
2020/5/11,重庆,579
2020/5/12,重庆,579
2020/5/13,重庆,579
2020/5/14,重庆,579
2020/5/15,重庆,579
2020/5/16,重庆,579
2020/5/17,重庆,579
2020/5/18,重庆,579
2020/5/19,重庆,579
2020/5/20,重庆,579
2020/5/21,重庆,579
